snapshot_date,symbol,name
2026-08-14,002493.SZ,荣盛石化
2026-08-14,002532.SZ,天山铝业
2026-08-14,002558.SZ,巨人网络
2026-08-14,002594.SZ,比亚迪
2026-08-14,002600.SZ,领益智造
2026-08-14,002602.SZ,世纪华通
2026-08-14,002625.SZ,光启技术
2026-08-14,002648.SZ,卫星化学
2026-08-14,002709.SZ,天赐材料
2026-08-14,002714.SZ,牧原股份
2026-08-14,002736.SZ,国信证券
2026-08-14,002837.SZ,英维克
2026-08-14,002916.SZ,深南电路
2026-08-14,002920.SZ,德赛西威
2026-08-14,002938.SZ,鹏鼎控股
2026-08-14,003816.SZ,中国广核
2026-08-14,300014.SZ,亿纬锂能
2026-08-14,300015.SZ,爱尔眼科
2026-08-14,300033.SZ,同花顺
2026-08-14,300059.SZ,东方财富
2026-08-14,300122.SZ,智飞生物
2026-08-14,300124.SZ,汇川技术
2026-08-14,300251.SZ,光线传媒
2026-08-14,300274.SZ,阳光电源
2026-08-14,300308.SZ,中际旭创
2026-08-14,300316.SZ,晶盛机电
2026-08-14,300394.SZ,天孚通信
2026-08-14,300408.SZ,三环集团
2026-08-14,300413.SZ,芒果超媒
2026-08-14,300418.SZ,昆仑万维
2026-08-14,300433.SZ,蓝思科技
2026-08-14,300442.SZ,润泽科技
2026-08-14,300450.SZ,先导智能
2026-08-14,300476.SZ,胜宏科技
2026-08-14,300498.SZ,温氏股份
2026-08-14,300502.SZ,新易盛
2026-08-14,300628.SZ,亿联网络
2026-08-14,300661.SZ,圣邦股份
2026-08-14,300750.SZ,宁德时代
2026-08-14,300760.SZ,迈瑞医疗
2026-08-14,300803.SZ,指南针
2026-08-14,300832.SZ,新产业
2026-08-14,300866.SZ,安克创新
2026-08-14,300896.SZ,爱美客
2026-08-14,300999.SZ,金龙鱼
2026-08-14,301165.SZ,锐捷网络
2026-08-14,301236.SZ,软通动力
2026-08-14,301269.SZ,华大九天
2026-08-14,301308.SZ,江波龙
2026-08-14,302132.SZ,中航成飞
2026-08-14,600000.SH,浦发银行
2026-08-14,600009.SH,上海机场
2026-08-14,600010.SH,包钢股份
2026-08-14,600011.SH,华能国际
2026-08-14,600015.SH,华夏银行
2026-08-14,600016.SH,民生银行
2026-08-14,600018.SH,上港集团
2026-08-14,600019.SH,宝钢股份
2026-08-14,600023.SH,浙能电力
2026-08-14,600025.SH,华能水电
2026-08-14,600026.SH,中远海能
2026-08-14,600027.SH,华电国际
2026-08-14,600028.SH,中国石化
2026-08-14,600029.SH,南方航空
2026-08-14,600030.SH,中信证券
2026-08-14,600031.SH,三一重工
2026-08-14,600036.SH,招商银行
2026-08-14,600039.SH,四川路桥
2026-08-14,600048.SH,保利发展
2026-08-14,600050.SH,中国联通
2026-08-14,600061.SH,国投资本
2026-08-14,600066.SH,宇通客车
2026-08-14,600085.SH,同仁堂
2026-08-14,600089.SH,特变电工
2026-08-14,600104.SH,上汽集团
2026-08-14,600111.SH,北方稀土
2026-08-14,600115.SH,中国东航
2026-08-14,600118.SH,中国卫星
2026-08-14,600150.SH,中国船舶
2026-08-14,600160.SH,巨化股份
2026-08-14,600176.SH,中国巨石
2026-08-14,600183.SH,生益科技
2026-08-14,600188.SH,兖矿能源
2026-08-14,600196.SH,复星医药
2026-08-14,600219.SH,南山铝业
2026-08-14,600221.SH,海航控股
2026-08-14,600233.SH,圆通速递
2026-08-14,600276.SH,恒瑞医药
2026-08-14,600309.SH,万华化学
2026-08-14,600346.SH,恒力石化
2026-08-14,600362.SH,江西铜业
2026-08-14,600372.SH,中航机载
2026-08-14,600406.SH,国电南瑞
2026-08-14,600415.SH,小商品城
2026-08-14,600426.SH,华鲁恒升
2026-08-14,600436.SH,片仔癀
2026-08-14,600438.SH,通威股份
2026-08-14,600460.SH,士兰微
2026-08-14,600482.SH,中国动力
2026-08-14,600489.SH,中金黄金
2026-08-14,600515.SH,海南机场
2026-08-14,600519.SH,贵州茅台
2026-08-14,600522.SH,中天科技
2026-08-14,600547.SH,山东黄金
2026-08-14,600549.SH,厦门钨业
2026-08-14,600570.SH,恒生电子
2026-08-14,600584.SH,长电科技
2026-08-14,600585.SH,海螺水泥
2026-08-14,600588.SH,用友网络
2026-08-14,600600.SH,青岛啤酒
2026-08-14,600660.SH,福耀玻璃
2026-08-14,600674.SH,川投能源
2026-08-14,600690.SH,海尔智家
2026-08-14,600741.SH,华域汽车
2026-08-14,600760.SH,中航沈飞
2026-08-14,600795.SH,国电电力
2026-08-14,600803.SH,新奥股份
2026-08-14,600809.SH,山西汾酒
2026-08-14,600845.SH,宝信软件
2026-08-14,600875.SH,东方电气
2026-08-14,600886.SH,国投电力
2026-08-14,600887.SH,伊利股份
2026-08-14,600893.SH,航发动力
2026-08-14,600900.SH,长江电力
2026-08-14,600905.SH,三峡能源
2026-08-14,600918.SH,中泰证券
2026-08-14,600919.SH,江苏银行
2026-08-14,600926.SH,杭州银行
2026-08-14,600930.SH,华电新能
2026-08-14,600938.SH,中国海油
2026-08-14,600941.SH,中国移动
2026-08-14,600958.SH,东方证券
2026-08-14,600989.SH,宝丰能源
2026-08-14,600999.SH,招商证券
2026-08-14,601006.SH,大秦铁路
2026-08-14,601009.SH,南京银行
2026-08-14,601012.SH,隆基绿能
2026-08-14,601018.SH,宁波港
2026-08-14,601021.SH,春秋航空
2026-08-14,601058.SH,赛轮轮胎
2026-08-14,601059.SH,信达证券
2026-08-14,601066.SH,中信建投
2026-08-14,601077.SH,渝农商行
2026-08-14,601088.SH,中国神华
2026-08-14,601100.SH,恒立液压
2026-08-14,601111.SH,中国国航
2026-08-14,601117.SH,中国化学
2026-08-14,601127.SH,赛力斯
2026-08-14,601136.SH,首创证券
2026-08-14,601138.SH,工业富联
2026-08-14,601166.SH,兴业银行
2026-08-14,601169.SH,北京银行
2026-08-14,601186.SH,中国铁建
2026-08-14,601211.SH,国泰海通
2026-08-14,601225.SH,陕西煤业
2026-08-14,601229.SH,上海银行
2026-08-14,601238.SH,广汽集团
2026-08-14,601288.SH,农业银行
2026-08-14,601318.SH,中国平安
2026-08-14,601319.SH,中国人保
2026-08-14,601328.SH,交通银行
2026-08-14,601336.SH,新华保险
2026-08-14,601360.SH,三六零
2026-08-14,601377.SH,兴业证券
2026-08-14,601390.SH,中国中铁
2026-08-14,601398.SH,工商银行
2026-08-14,601456.SH,国联民生
2026-08-14,601600.SH,中国铝业
2026-08-14,601601.SH,中国太保
2026-08-14,601607.SH,上海医药
2026-08-14,601618.SH,中国中冶
2026-08-14,601628.SH,中国人寿
2026-08-14,601633.SH,长城汽车
2026-08-14,601658.SH,邮储银行
2026-08-14,601668.SH,中国建筑
2026-08-14,601669.SH,中国电建
2026-08-14,601688.SH,华泰证券
2026-08-14,601689.SH,拓普集团
2026-08-14,601698.SH,中国卫通
2026-08-14,601727.SH,上海电气
2026-08-14,601728.SH,中国电信
2026-08-14,601766.SH,中国中车
2026-08-14,601788.SH,光大证券
2026-08-14,601800.SH,中国交建
2026-08-14,601816.SH,京沪高铁
2026-08-14,601818.SH,光大银行
2026-08-14,601825.SH,沪农商行
2026-08-14,601838.SH,成都银行
2026-08-14,601857.SH,中国石油
2026-08-14,601868.SH,中国能建
2026-08-14,601872.SH,招商轮船
