factor,valid_ic_days,mean_ic,icir,q5_minus_q1_mean
momentum_20d,1191,-0.014329203158054143,-0.06249886037048603,0.0002967936587096203
reversal_5d,1206,0.021554288824263464,0.10352344998240708,-0.00020740098587949195
volatility_20d,1191,-0.03175492755531465,-0.12444021643224028,0.0008020813357287348
