factor,period,valid_ic_days,mean_ic,icir,q1_mean,q5_mean,q5_minus_q1
momentum_20d,is_2021_2023,706,-0.014043898488282126,-0.062007885725885864,0.0003395420615656104,0.00036511072707884866,2.5568665513238278e-05
momentum_20d,oos_2024,241,-0.003007099725523252,-0.01196298434528593,0.0007815279759249037,0.0015264845711081042,0.0007449565951832005
momentum_20d,oos_2025,242,-0.027400528591095586,-0.12763777782786648,0.001220580508661405,0.001846746412081134,0.0006261659034197289
reversal_5d,is_2021_2023,721,0.018963007131907704,0.09714560657630848,0.0004537943405190006,0.0002896121423684096,-0.000164182198150591
reversal_5d,oos_2024,241,0.004868995807033673,0.019627267682734897,0.0014910012018443117,0.0008303348262900004,-0.0006606663755543114
reversal_5d,oos_2025,242,0.04535877756575589,0.22531862825058369,0.0013313283675020456,0.0013637444156695587,3.241604816751312e-05
volatility_20d,is_2021_2023,706,-0.030114266055850738,-0.13570610376589723,0.00019532894749380372,0.0008579292731126925,0.0006626003256188888
volatility_20d,oos_2024,241,-0.04939381218407471,-0.1671923327865289,0.0013122033486426925,0.0013905375927962106,7.833424415351815e-05
volatility_20d,oos_2025,242,-0.01634384993527841,-0.05475517961967509,0.00036909185536489073,0.002457052634171199,0.0020879607788063083
