strategy,strategy_type,period,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_daily_turnover,annualized_turnover,ending_nav,cumulative_return
momentum_20d,frozen_baseline,FULL,0.11350491296779164,0.2430165667349605,0.5635148985067494,-0.356363730799818,93.62184615827948,0.0772457476553461,19.465928409147217,1.677130848578615,0.6771308485786149
momentum_20d,frozen_baseline,IS_2021_2023,-0.024579027034179246,0.22599875462126565,0.0027502524613399614,-0.356363730799818,55.8262811889243,0.07678993285959326,19.351063080617504,0.9307221194836875,-0.06927788051631245
momentum_20d,frozen_baseline,OOS_2024,0.20615062906095116,0.27978198869906606,0.8072332506352937,-0.164477207610496,19.619756177863685,0.08107337263580035,20.430489904221687,1.1972127340534249,0.19721273405342488
momentum_20d,frozen_baseline,OOS_2025,0.5281023999157048,0.252367443674241,1.8078685774913403,-0.15772523025451646,18.175808791491505,0.07479756704317492,18.848986894880078,1.5051354487009463,0.5051354487009463
combined_rank,experimental,FULL,0.10392161289503066,0.15914242278114987,0.70077136066605,-0.23086210386448147,142.78788092215558,0.11781178293907225,29.688569300646208,1.6088385691961617,0.6088385691961617
combined_rank,experimental,IS_2021_2023,0.015610001077523084,0.145876881821819,0.1792059305663709,-0.23086210386448147,81.70689149534587,0.1123891217267481,28.32205867514052,1.0456991893008867,0.04569918930088668
combined_rank,experimental,OOS_2024,0.3965420200714951,0.20225344107495366,1.751896183036309,-0.1409374673102083,28.721777356386333,0.11868503039829063,29.90862766036924,1.3781544639772865,0.37815446397728647
combined_rank,experimental,OOS_2025,0.12092991863496261,0.14777349542477133,0.8469428022821459,-0.09184681778755299,32.3592120704234,0.13316548177128973,33.55770140636501,1.1163690860460391,0.11636908604603913
combined_zscore,experimental,FULL,0.09518672174371057,0.15522316791979288,0.6632818970274172,-0.24168539096927344,133.47538318964524,0.11012820395185251,27.752307395866833,1.5485288192525188,0.5485288192525188
combined_zscore,experimental,IS_2021_2023,-0.00300147624303837,0.14202146756523154,0.04989465407489227,-0.24168539096927344,72.91181885068929,0.10029136017976518,25.273422765300825,0.9913654519607277,-0.008634548039272327
combined_zscore,experimental,OOS_2024,0.39637397643043837,0.19831051179091527,1.7820800153076468,-0.14071456087109924,28.31831450781766,0.11701782854470108,29.488492793264673,1.3779952130999293,0.37799521309992934
combined_zscore,experimental,OOS_2025,0.13881720092710514,0.14328931890663704,0.9795680886139361,-0.09403268188654779,32.2452498311383,0.13269650136270905,33.43951834340268,1.1335424881385971,0.13354248813859715
